# {'model': 'gpt2', 'layer': 5, 'hook': 'transformer.h[5].mlp.act', 'm': 3072, 'vocab': 50257, 'device': 'cuda'}
neuron	bos_act	exp_wins	imp_r_wins	imp_i_wins	exp_max	imp_max_all	imp_max_last
398	0.355471	0	0	0	0.371888	1.029529	1.029529
399	-0.056851	0	0	0	-0.054659	2.427098	2.427098
400	-0.069688	0	0	0	-0.062329	1.345180	1.345180
401	-0.158514	0	0	0	-0.156210	1.226153	1.226153
402	0.303350	0	0	0	0.320526	0.922444	0.922444
403	-0.074024	0	0	0	-0.069528	1.067685	1.067685
404	-0.090411	0	0	0	-0.084974	0.880189	0.880189
405	-0.070353	0	0	0	-0.067416	0.387601	0.387601
406	-0.056760	0	0	0	-0.054084	1.372763	1.372763
407	0.198047	0	0	0	0.214285	0.691709	0.691709
408	-0.138623	0	0	0	-0.129561	0.327086	0.327086
409	0.498387	0	0	0	0.535761	0.515978	0.515978
410	-0.006161	0	0	0	0.002740	0.607330	0.607330
411	-0.047532	0	0	0	-0.028975	1.363052	1.363052
412	-0.114377	0	0	0	-0.110275	1.505658	1.505658
413	0.498321	0	0	0	0.538613	1.056235	1.056235
414	0.230307	0	1	1	0.251702	2.905451	2.905451
415	0.799640	0	0	0	0.839727	2.353489	2.353489
416	-0.150587	0	0	0	-0.147568	-0.028239	-0.028239
417	-0.084638	0	0	0	-0.081888	1.309116	1.309116
418	0.702566	0	0	0	0.729039	1.034732	1.034732
419	-0.001553	0	0	0	-0.001344	0.548215	0.548215
420	-0.062985	0	0	0	-0.061386	1.623766	1.623766
421	0.155915	0	0	0	0.164316	2.347464	2.347464
422	0.004609	0	0	0	0.022335	1.034387	1.034387
423	-0.063999	0	0	0	-0.061510	1.800881	1.800881
424	0.411607	0	0	0	0.417471	0.739787	0.739787
425	0.341310	0	0	0	0.369964	1.491643	1.491643
426	0.119759	0	0	0	0.133920	0.442189	0.442189
427	-0.003848	0	0	0	-0.003364	2.602571	2.602571
428	-0.106980	0	0	0	-0.101658	1.805943	1.805943
429	-0.061859	0	0	0	-0.060198	0.740629	0.740629
430	-0.150876	0	0	0	-0.149601	1.303017	1.303017
431	-0.128272	0	0	0	-0.119552	0.558736	0.558736
432	-0.012123	0	0	0	-0.011091	0.142622	0.142622
433	-0.059690	0	0	0	-0.041094	0.780036	0.780036
434	-0.083502	0	0	0	-0.078591	0.804267	0.804267
435	0.113292	0	0	0	0.129009	2.200724	2.200724
436	0.038746	0	0	0	0.047238	0.846669	0.846669
