# generated_utc	2026-08-14T14:49:09+00:00
# script	probe_v4.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	88
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	block	carrier	incumbent	incumbent_val	pred_delta	signed_delta	pred_err	pred_sign_ok
Iceland Mackinaw	1	R	5	1960	0.02524	2	20	3.383133	["Ice", "land", " Mack", "in", "aw"]	[23709, 1044, 16640, 259, 707]	3.357893	4	2.574421	4	3.332004	1	2.36087	0	Iceland	1960	0.051129	1	carriers	Iceland	1960	3.383134	-0.025241	-0.02524	1e-06	1
Iceland	1	R	2	1960	0.051129	2	1888	3.383134	["Ice", "land"]	[23709, 1044]	-0.00705	0	-0.122657	0	3.332006	1	2.360871	0					carrier_alone	Iceland						
whale Mackinaw	1	R	5	20	0.42266	4	1430	3.033663	["wh", "ale", " Mack", "in", "aw"]	[1929, 1000, 16640, 259, 707]	3.033663	4	2.611002	4	2.591117	1	2.36087	0	whale Mackin	20	0.422661	1	carriers	whale	1790	2.59644	0.437223	0.42266	-0.014563	1
whale	1	R	2	1790	0.005324	1	1888	2.59644	["wh", "ale"]	[1929, 1000]	-0.00705	0	-0.102662	1	2.591115	1	2.360871	0					carrier_alone	whale						
ship Mackinaw	1	R	4	1888	0.13095	1	20	3.211174	["ship", " Mack", "in", "aw"]	[6720, 16640, 259, 707]	3.080224	3	2.620921	3	3.211174	1	2.36087	0	ship	1888	0.690308	1	carriers	ship	1888	3.211175	-0.130951	-0.13095	1e-06	1
ship	1	R	1	1888	0.690308	1	1790	3.211175	["ship"]	[6720]	-0.00705	0	-0.048708	1	3.211175	1	2.360871	0					carrier_alone	ship						
! Mackinaw	1	R	4	20	0.351875	3	1430	3.162257	["!", " Mack", "in", "aw"]	[0, 16640, 259, 707]	3.162257	3	2.810382	3	2.729156	2	2.36087	0	! Mackin	20	0.351875	1	carriers	!	1888	2.454065	0.708192	0.351875	-0.356317	1
!	1	R	1	1888	0.093194	1	2256	2.454065	["!"]	[0]	-0.00705	0	-0.091028	1	2.454065	1	2.360871	0					carrier_alone	!						
? Mackinaw	1	R	4	20	0.209209	3	1888	3.086996	["?", " Mack", "in", "aw"]	[30, 16640, 259, 707]	3.086996	3	2.847377	3	2.877787	2	2.36087	0	? Mackin	20	0.209209	1	carriers	?	1888	2.425695	0.661301	0.209209	-0.452092	1
?	1	R	1	1888	0.064824	1	2256	2.425695	["?"]	[30]	-0.00705	0	-0.122657	0	2.425695	1	2.360871	0					carrier_alone	?						
- Mackinaw	1	R	4	20	0.385818	3	1430	3.32868	["-", " Mack", "in", "aw"]	[12, 16640, 259, 707]	3.32868	3	2.942861	3	2.500597	2	2.36087	0	- Mackin	20	0.385818	1	carriers	-	2256	2.360871	0.967809	0.385818	-0.581991	1
-	1	R	1	2256	0.00105	0	1888	2.360871	["-"]	[12]	-0.00705	0	-0.088918	1	2.359821	1	2.360871	0					carrier_alone	-						
1 Mackinaw	1	R	4	20	0.139835	3	1430	3.090271	["1", " Mack", "in", "aw"]	[16, 16640, 259, 707]	3.090271	3	2.950436	3	2.781237	2	2.36087	0	1 Mackin	20	0.139835	1	carriers	1	1888	2.683739	0.406532	0.139835	-0.266697	1
1	1	R	1	1888	0.322868	1	2256	2.683739	["1"]	[16]	-0.00705	0	-0.122657	0	2.683739	1	2.360871	0					carrier_alone	1						
