# generated_utc	2026-08-14T14:56:01+00:00
# script	probe_v5.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	232
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	arm	canonical
at Berlin	1	R	2	1888	0.064267	2	2256	2.425138	["at", " Berlin"]	[265, 11307]	-0.00705	0	-0.060029	2	2.425138	2	2.360871	0	at Berlin	1888	0.064267	1	B_gate	1
at Austin	1	R	2	2256	0.110072	0	1790	2.360871	["at", " Austin"]	[265, 9533]	-0.00705	0	-0.022311	2	2.128478	1	2.360871	0				bos_footprint	B_gate	1
at Merlin	1	R	2	1888	0.299028	2	2256	2.659899	["at", " Merlin"]	[265, 32918]	-0.00705	0	-0.078588	2	2.659899	2	2.360871	0	at Merlin	1888	0.299028	1	B_gate	1
at Latin	1	R	2	2256	0.110072	0	1790	2.360871	["at", " Latin"]	[265, 9133]	0.655286	2	-0.042258	2	2.128478	1	2.360871	0				bos_footprint	B_gate	1
at thunder	1	R	2	1888	0.241184	2	2256	2.602055	["at", " thunder"]	[265, 18355]	-0.00705	0	-0.122657	0	2.602055	2	2.360871	0	at thunder	1888	0.241184	1	B_gate	1
at marrow	1	R	2	1790	0.334751	2	2256	2.695622	["at", " marrow"]	[265, 44173]	-0.00705	0	-0.081465	2	2.139539	2	2.360871	0	at marrow	1790	0.334751	1	B_gate	1
at gospel	1	R	2	1888	0.19175	2	1790	2.618473	["at", " gospel"]	[265, 21443]	-0.00705	0	-0.078509	2	2.618473	2	2.360871	0	at gospel	1888	0.19175	1	B_gate	1
at iron	1	R	2	1888	0.078052	2	2256	2.438923	["at", " iron"]	[265, 6953]	-0.00705	0	-0.037587	2	2.438923	2	2.360871	0	at iron	1888	0.078052	1	B_gate	1
at canvas	1	R	2	1888	0.397439	2	2256	2.75831	["at", " canvas"]	[265, 21978]	-0.00705	0	-0.035851	2	2.75831	2	2.360871	0	at canvas	1888	0.397439	1	B_gate	1
at tallow	1	R	3	1790	0.130978	3	1888	2.652354	["at", " tall", "ow"]	[265, 7331, 322]	-0.00705	0	-0.033272	2	2.521375	2	2.36087	0	at tallow	1790	0.130978	1	B_gate	1
